date,model,my_trigger,hit,precision,sum_pl,max_pl,min_pl,model,my_trigger,hit,precision,sum_pl,max_pl,min_pl
24_09_02,HI 83,1,1,1.000,8.8,8.8,0.0,LO 83,1,1,1.000,10.8,10.8,0.0
24_09_04,HI 83,4,3,0.750,18.5,13.0,-13.9,LO 83,2,0,0.000,-3.1,3.9,-7.0
24_09_05,HI 83,3,1,0.333,3.6,34.4,-16.6,LO 83,5,3,0.600,75.0,36.5,-3.1
24_09_16,HI 83,8,5,0.625,111.6,44.8,-14.7,LO 83,2,1,0.500,5.5,6.2,-0.7
24_09_17,HI 83,5,2,0.400,30.6,20.6,-7.7,LO 83,4,1,0.250,-7.6,19.6,-28.5
24_09_23,HI 83,3,3,1.000,49.2,17.5,0.0,LO 83,3,0,0.000,-8.5,5.0,-18.1
24_09_24,HI 83,6,4,0.667,98.1,42.9,-18.5,LO 83,5,4,0.800,69.0,28.4,-1.0
24_09_26,HI 83,5,2,0.400,11.9,17.7,-12.2,LO 83,3,1,0.333,-0.8,30.5,-27.1
,,,,,,,,,,,,,,
,,35,21,0.600,332.3,44.8,-18.5,,25,11,0.440,140.3,36.5,-28.5